episode,timestep,reward,coverage_pct,ep_steps
251,431376,-8.226,97.24,1736
252,433100,-10.887,96.75,1724
253,434804,-16.185,95.77,1704
254,436552,-12.066,96.57,1748
255,438300,-12.066,96.57,1748
256,440012,3.354,99.30,1712
257,441748,-4.326,97.93,1736
258,443464,4.674,99.53,1716
259,445192,-3.066,98.15,1728
260,446908,0.775,98.83,1716
261,448652,-36.785,92.20,1744
262,450388,-27.725,93.78,1736
263,452124,-0.425,98.62,1736
264,453868,-0.386,98.62,1744
265,455572,0.715,98.83,1704
266,457276,0.715,98.83,1704
267,459004,-8.267,97.22,1728
268,460716,-8.346,97.20,1712
269,462420,-9.685,96.95,1704
270,464152,-3.046,98.15,1732
271,465912,-5.506,97.73,1760
272,467640,-18.663,95.37,1728
273,469372,-5.645,97.69,1732
274,471124,4.854,99.54,1752
275,472844,-0.505,98.60,1720
276,474528,0.614,98.81,1684
277,476244,2.075,99.07,1716
278,477836,98.255,100.00,1592
279,479540,2.015,99.06,1704
280,481256,-4.425,97.90,1716
281,482928,-5.947,97.61,1672
282,484628,-12.305,96.47,1700
283,486348,-4.405,97.91,1720
284,488100,-6.846,97.49,1752
285,489804,-33.085,92.72,1704
286,491528,-3.084,98.14,1724
287,493220,-5.846,97.64,1692
288,494964,0.913,98.85,1744
289,496712,-10.766,96.80,1748
290,498448,2.174,99.08,1736
291,500144,0.675,98.82,1696
292,501832,-3.266,98.10,1688
293,503564,-8.244,97.23,1732
294,505288,-12.186,96.52,1724
295,506972,-13.686,96.20,1684
296,508664,0.654,98.82,1692
297,510404,-2.999,98.16,1740
298,512156,-2.945,98.17,1752
299,513852,-99.424,80.66,1696
300,515564,-1.845,98.36,1712
301,517296,-25.145,94.23,1732
302,518992,-14.926,95.99,1696
303,520668,-4.626,97.85,1676
304,522380,-17.447,95.56,1712
305,524044,-18.986,95.19,1664
306,525768,-1.785,98.38,1724
307,527492,-4.386,97.91,1724
308,529228,-5.625,97.70,1736
309,530960,-0.445,98.61,1732
310,532712,-0.346,98.63,1752
311,534424,-12.245,96.50,1712
312,536140,-34.326,92.54,1716
313,537804,-3.386,98.08,1664
314,539564,-51.005,89.77,1760
315,541284,-4.405,97.91,1720
316,542988,2.015,99.06,1704
317,544728,0.894,98.85,1740
318,546432,-3.186,98.12,1704
319,548132,1.994,99.06,1700
320,549828,1.974,99.06,1696
321,551544,5.974,99.77,1716
322,553264,2.095,99.07,1720
323,554988,-6.986,97.45,1724
324,556684,-60.425,87.74,1696
325,558396,-385.346,29.44,1712
326,560120,-9.585,96.98,1724
327,561820,-0.606,98.59,1700
328,563572,0.955,98.86,1752
329,565256,-3.286,98.10,1684
330,566952,3.274,99.29,1696
331,568466,115.415,100.00,1514
332,570186,-8.306,97.21,1720
333,571898,-3.145,98.13,1712
334,573630,2.154,99.08,1732
335,575350,2.094,99.07,1720
336,577094,2.214,99.08,1744
337,578802,-1.865,98.36,1708
338,580530,2.135,99.07,1728
339,582290,-5.505,97.73,1760
340,584022,-0.445,98.61,1732
341,585726,4.614,99.53,1704
342,587478,-4.245,97.95,1752
343,589174,5.874,99.76,1696
344,590890,4.674,99.53,1716
345,592614,2.115,99.07,1724
346,594342,4.735,99.54,1728
347,596070,2.134,99.07,1728
348,597778,-27.865,93.68,1708
349,599482,-111.084,78.64,1704
350,601162,-9.806,96.90,1680
351,602886,6.014,99.77,1724
352,604650,3.614,99.32,1764
353,606402,4.854,99.54,1752
354,608084,68.155,100.00,1682
355,609350,192.175,100.00,1266
356,611050,3.294,99.29,1700
357,612786,3.474,99.31,1736
358,614498,2.054,99.07,1712
359,616178,-0.705,98.57,1680
360,617914,-9.526,97.00,1736
361,619642,6.034,99.77,1728
362,621374,-4.345,97.92,1732
363,623094,-39.505,91.63,1720
364,624798,-13.585,96.24,1704
365,626277,127.914,100.00,1479
366,627985,0.735,98.83,1708
367,629733,-5.566,97.71,1748
368,631473,-10.806,96.78,1740
369,633181,-5.765,97.66,1708
370,634818,89.055,100.00,1637
371,636554,4.774,99.54,1736
372,638250,-1.926,98.35,1696
373,639986,-0.425,98.62,1736
374,641690,2.015,99.06,1704
375,643442,-0.346,98.63,1752
376,645170,6.035,99.77,1728
377,646512,179.554,100.00,1342
378,648260,-31.565,93.14,1748
379,649964,-0.587,98.59,1704
380,651672,-9.667,96.96,1708
381,653416,-22.486,94.72,1744
382,655156,-3.006,98.16,1740
383,656602,155.374,100.00,1446
384,658354,-18.545,95.43,1752
385,660070,-1.825,98.37,1716
386,661666,85.274,100.00,1596
387,663354,3.235,99.29,1688
388,665094,-0.405,98.62,1740
389,666553,142.115,100.00,1459
390,668265,4.655,99.53,1712
391,669989,-4.386,97.91,1724
392,671705,-4.425,97.90,1716
393,673405,5.894,99.76,1700
394,675153,4.835,99.54,1748
395,676861,4.635,99.53,1708
396,678573,-10.946,96.73,1712
397,680321,4.834,99.54,1748
398,681626,186.195,100.00,1305
399,683358,-17.345,95.61,1732
400,685090,4.754,99.54,1732
401,686818,6.035,99.77,1728
402,688299,132.474,100.00,1481
403,689983,4.514,99.52,1684
404,691715,-47.245,90.30,1732
405,693443,-14.765,96.06,1728
406,695151,0.734,98.83,1708
407,696855,-0.585,98.59,1704
408,698583,2.135,99.07,1728
409,700323,0.893,98.85,1740
410,702051,-5.665,97.69,1728
411,703779,3.434,99.31,1728
412,705467,-17.566,95.50,1688
413,707199,4.754,99.54,1732
414,708887,1.934,99.05,1688
415,710478,102.474,100.00,1591
416,712174,-3.226,98.11,1696
417,713886,2.054,99.07,1712
418,715622,-1.726,98.39,1736
419,717346,-0.486,98.61,1724
420,719046,4.594,99.53,1700
421,720762,5.975,99.77,1716
422,722474,5.954,99.77,1712
423,724210,-0.426,98.62,1736
424,725966,4.874,99.54,1756
425,727682,5.974,99.77,1716
426,729390,-3.165,98.13,1708
427,731110,4.694,99.53,1720
428,732850,2.194,99.08,1740
429,734590,-5.606,97.70,1740
430,736298,-0.566,98.59,1708
431,737986,4.533,99.53,1688
432,739738,6.154,99.77,1752
433,741260,114.153,100.00,1522
434,743012,-10.746,96.80,1752
435,744756,-0.386,98.62,1744
436,746496,-3.006,98.16,1740
437,748208,0.755,98.83,1712
438,749928,3.395,99.30,1720
439,751620,-3.245,98.11,1692
440,753344,-0.487,98.61,1724
441,755016,-11.145,96.65,1672
442,756740,2.115,99.07,1724
443,758456,-3.125,98.14,1716
444,759567,259.976,100.00,1111
445,761291,-8.286,97.22,1724
446,763035,0.915,98.85,1744
447,764743,2.035,99.06,1708
448,766451,5.935,99.77,1708
449,768167,4.675,99.53,1716
450,769855,3.235,99.29,1688
451,771559,3.314,99.30,1704
452,772668,239.814,100.00,1109
453,773750,256.256,100.00,1082
454,775474,6.015,99.77,1724
455,776593,234.016,100.00,1119
456,778317,4.714,99.54,1724
457,780077,0.995,98.86,1760
458,781841,4.914,99.55,1764
459,783573,-0.446,98.61,1732
460,784714,247.776,100.00,1141
461,786430,4.675,99.53,1716
462,788142,-1.845,98.36,1712
463,789890,6.134,99.77,1748
464,791650,-12.005,96.59,1760
465,793225,102.394,100.00,1575
466,794961,4.774,99.54,1736
467,796181,221.195,100.00,1220
468,797901,2.094,99.07,1720
469,799569,3.135,99.28,1668
470,801281,5.956,99.77,1712
471,803033,6.154,99.77,1752
472,804713,5.794,99.76,1680
473,806429,-0.526,98.60,1716
474,807681,214.855,100.00,1252
475,809321,4.295,99.51,1640
476,811045,2.114,99.07,1724
477,812801,-30.225,93.39,1756
478,814493,4.555,99.53,1692
479,816221,6.035,99.77,1728
480,817949,4.734,99.54,1728
481,819653,4.615,99.53,1704
482,821421,2.334,99.10,1768
483,823125,5.915,99.77,1704
484,824877,-5.545,97.72,1752
485,826537,-0.805,98.55,1660
486,828277,2.195,99.08,1740
487,830017,3.495,99.31,1740
488,831749,-29.045,93.53,1732
489,833485,2.174,99.08,1736
490,835213,3.435,99.31,1728
491,836929,3.375,99.30,1716
492,838617,5.834,99.76,1688
493,840133,131.674,100.00,1516
494,841865,6.055,99.77,1732
495,843047,234.656,100.00,1182
496,844732,63.295,100.00,1685
497,846030,191.034,100.00,1298
498,847054,283.917,100.00,1024
499,848766,5.955,99.77,1712
500,850518,6.154,99.77,1752
501,852224,72.174,100.00,1706
502,853952,-5.665,97.69,1728
503,855279,181.754,100.00,1327
504,856999,-294.305,46.05,1720
505,858091,247.857,100.00,1092
506,859746,74.193,100.00,1655
507,861486,6.093,99.77,1740
508,863198,-48.645,89.95,1712
509,864232,275.517,100.00,1034
510,865445,227.333,100.00,1213
511,867165,-66.805,86.74,1720
512,868869,0.714,98.83,1704
513,870605,3.475,99.31,1736
514,871744,248.415,100.00,1139
515,873464,-35.605,92.33,1720
516,875176,-1.846,98.36,1712
517,876325,230.916,100.00,1149
518,878065,6.095,99.77,1740
519,879714,83.915,100.00,1649
520,881386,3.155,99.28,1672
521,883074,-446.567,17.30,1688
522,884774,3.294,99.29,1700
523,886474,4.595,99.53,1700
524,888182,3.335,99.30,1708
525,889918,-0.425,98.62,1736
526,891229,201.175,100.00,1311
527,892312,257.236,100.00,1083
528,894020,5.935,99.77,1708
529,895611,98.575,100.00,1591
530,897315,5.915,99.77,1704
531,898270,300.798,100.00,955
532,899982,-7.045,97.43,1712
533,901718,0.875,98.85,1736
534,903418,-13.606,96.24,1700
535,904997,103.714,100.00,1579
536,906737,-36.805,92.18,1740
537,907991,211.615,100.00,1254
538,909711,4.695,99.53,1720
539,911427,5.974,99.77,1716
540,912702,194.494,100.00,1275
541,914430,3.434,99.31,1728
542,916126,-224.224,58.02,1696
543,917802,5.773,99.76,1676
544,919510,-3.165,98.13,1708
545,921234,4.715,99.54,1724
546,922930,-17.526,95.52,1696
547,924157,217.655,100.00,1227
548,925889,2.155,99.08,1732
549,927597,-0.565,98.59,1708
550,929349,3.555,99.32,1752
551,931069,5.994,99.77,1720
552,932805,2.174,99.08,1736
553,934239,152.715,100.00,1434
554,935194,305.998,100.00,955
555,936064,333.198,100.00,870
556,937500,145.574,100.00,1436
557,939244,6.115,99.77,1744
558,940988,4.815,99.54,1744
559,942009,279.677,100.00,1021
560,943063,267.816,100.00,1054
561,944775,-100.643,80.61,1712
562,946495,5.995,99.77,1720
563,947668,234.936,100.00,1173
564,949396,6.035,99.77,1728
565,950789,163.234,100.00,1393
566,952487,73.435,100.00,1698
567,954223,-1.728,98.39,1736
568,955397,234.616,100.00,1174
569,957113,4.675,99.53,1716
570,958869,6.174,99.77,1756
571,960089,222.495,100.00,1220
572,961072,295.737,100.00,983
573,962270,216.535,100.00,1198
574,963990,-3.105,98.14,1720
575,965710,-4.405,97.91,1720
576,966986,200.675,100.00,1276
577,967973,299.657,100.00,987
578,969420,136.855,100.00,1447
579,971144,6.014,99.77,1724
580,972864,5.994,99.77,1720
581,974121,209.355,100.00,1257
582,975130,288.717,100.00,1009
583,976838,-173.465,67.45,1708
584,977757,318.818,100.00,919
585,979505,4.837,99.54,1748
586,981122,91.555,100.00,1617
587,982190,251.636,100.00,1068
588,983934,-19.885,95.18,1744
589,985678,2.215,99.08,1744
590,986948,202.595,100.00,1270
591,988688,3.495,99.31,1740
592,989664,286.277,100.00,976
593,990971,186.854,100.00,1307
594,992659,0.635,98.82,1688
595,994403,0.915,98.85,1744
596,995332,311.718,100.00,929
597,996759,147.155,100.00,1427
598,998471,3.355,99.30,1712
599,1000215,6.114,99.77,1744
600,1001633,155.235,100.00,1418
601,1003353,5.995,99.77,1720
602,1004551,224.335,100.00,1198
603,1006127,87.774,100.00,1576
604,1007127,292.897,100.00,1000
605,1008128,297.777,100.00,1001
606,1009856,-5.665,97.69,1728
607,1011564,-1.864,98.36,1708
608,1013316,-27.646,93.84,1752
609,1015056,-48.506,90.11,1740
610,1015962,317.778,100.00,906
611,1017670,-1.865,98.36,1708
612,1018759,268.316,100.00,1089
613,1020211,152.154,100.00,1452
614,1021959,-32.865,92.91,1748
615,1023060,254.076,100.00,1101
616,1024760,3.294,99.29,1700
617,1025842,261.456,100.00,1082
618,1027370,116.135,100.00,1528
619,1029098,-22.566,94.68,1728
620,1030834,3.475,99.31,1736
621,1032144,194.994,100.00,1310
622,1033096,314.758,100.00,952
623,1034808,5.954,99.77,1712
624,1036576,4.934,99.55,1768
625,1037707,240.576,100.00,1131
626,1038840,250.336,100.00,1133
627,1040508,3.135,99.28,1668
628,1041784,201.974,100.00,1276
629,1043488,5.915,99.77,1704
630,1044911,157.535,100.00,1423
631,1046619,-1.865,98.36,1708
632,1048295,4.475,99.52,1676
633,1049673,164.135,100.00,1378
634,1051018,168.195,100.00,1345
635,1052010,286.357,100.00,992
636,1053718,5.934,99.77,1708
637,1054642,306.818,100.00,924
638,1056382,2.195,99.08,1740
639,1057986,99.615,100.00,1604
640,1059085,261.216,100.00,1099
641,1060151,270.476,100.00,1066
642,1061841,70.795,100.00,1690
643,1062759,323.038,100.00,918
644,1064378,101.315,100.00,1619
645,1065263,334.898,100.00,885
646,1066526,203.535,100.00,1263
647,1067416,309.898,100.00,890
648,1069128,5.955,99.77,1712
649,1070836,5.935,99.77,1708
650,1072576,-10.805,96.78,1740
651,1073480,317.118,100.00,904
652,1074563,270.237,100.00,1083
653,1075737,234.616,100.00,1174
654,1076706,297.617,100.00,969
655,1077778,271.157,100.00,1072
656,1079522,6.115,99.77,1744
657,1080591,239.616,100.00,1069
658,1081620,282.317,100.00,1029
659,1082501,324.478,100.00,881
660,1084241,-116.102,78.16,1740
661,1085212,291.777,100.00,971
662,1086920,-17.465,95.55,1708
663,1088237,187.555,100.00,1317
664,1089977,-30.306,93.33,1740
665,1091471,123.115,100.00,1494
666,1092936,145.394,100.00,1465
667,1093839,321.338,100.00,903
668,1094833,288.317,100.00,994
669,1096040,230.556,100.00,1207
670,1096917,329.658,100.00,877
671,1098629,2.054,99.07,1712
672,1100377,2.235,99.08,1748
673,1101369,294.157,100.00,992
674,1102420,260.976,100.00,1051
675,1103262,347.358,100.00,842
676,1104213,308.577,100.00,951
677,1105089,331.278,100.00,876
678,1106013,314.618,100.00,924
679,1107331,175.534,100.00,1318
680,1109031,-17.505,95.53,1700
681,1110763,6.055,99.77,1732
682,1111572,348.818,100.00,809
683,1113015,136.833,100.00,1443
684,1114755,4.794,99.54,1740
685,1116499,-25.085,94.27,1744
686,1118251,-10.745,96.80,1752
687,1119186,311.098,100.00,935
688,1120418,213.455,100.00,1232
689,1121884,132.074,100.00,1466
690,1122857,293.737,100.00,973
691,1124564,62.755,100.00,1707
692,1126248,-3.285,98.10,1684
693,1127302,271.717,100.00,1054
694,1128137,337.898,100.00,835
695,1129073,301.678,100.00,936
696,1130100,286.857,100.00,1027
697,1131788,-14.965,95.97,1688
698,1132696,321.038,100.00,908
699,1133749,272.037,100.00,1053
700,1134671,319.158,100.00,922
701,1136395,4.715,99.54,1724
702,1137367,300.557,100.00,972
703,1138341,285.617,100.00,974
704,1139197,336.378,100.00,856
705,1140371,241.116,100.00,1174
706,1142107,4.775,99.54,1736
707,1143799,5.854,99.76,1692
708,1145487,-35.765,92.18,1688
709,1146573,258.876,100.00,1086
710,1148289,-3.125,98.14,1716
711,1149145,329.878,100.00,856
712,1149961,343.979,100.00,816
