episode,timestep,reward,coverage_pct,ep_steps
416,288343,225.043,100.00,408
417,288834,219.233,100.00,491
418,289269,223.153,100.00,435
419,289730,221.333,100.00,461
420,290168,222.943,100.00,438
421,290635,220.913,100.00,467
422,291036,225.533,100.00,401
423,291500,221.123,100.00,464
424,291998,218.743,100.00,498
425,292563,214.053,100.00,565
426,292980,224.413,100.00,417
427,293403,223.993,100.00,423
428,293719,231.483,100.00,316
429,294426,204.113,100.00,707
430,294841,224.553,100.00,415
431,295246,225.253,100.00,405
432,295773,216.713,100.00,527
433,296121,229.243,100.00,348
434,296637,217.483,100.00,516
435,297158,217.133,100.00,521
436,297581,223.993,100.00,423
437,297972,226.233,100.00,391
438,298337,228.053,100.00,365
439,299117,144.893,97.95,780
440,299510,226.093,100.00,393
441,299856,229.383,100.00,346
442,300219,228.193,100.00,363
443,300608,226.373,100.00,389
444,301204,211.882,100.00,596
445,301683,220.073,100.00,479
446,302169,219.583,100.00,486
447,302949,111.288,81.54,780
448,303356,225.113,100.00,407
449,303745,226.373,100.00,389
450,304203,221.543,100.00,458
451,304605,225.463,100.00,402
452,304942,230.013,100.00,337
453,305722,148.031,99.49,780
454,306192,220.703,100.00,470
455,306536,229.523,100.00,344
456,306913,227.213,100.00,377
457,307241,230.643,100.00,328
458,307653,224.763,100.00,412
459,308032,227.073,100.00,379
460,308450,224.343,100.00,418
461,309230,143.831,97.44,780
462,309590,228.403,100.00,360
463,310033,222.593,100.00,443
464,310503,220.703,100.00,470
465,310992,219.372,100.00,489
466,311348,228.683,100.00,356
467,311708,228.403,100.00,360
468,312144,223.083,100.00,436
469,312500,228.683,100.00,356
470,312864,228.123,100.00,364
471,313220,228.683,100.00,356
472,313683,221.193,100.00,463
473,314039,228.683,100.00,356
474,314448,224.973,100.00,409
475,314917,220.773,100.00,469
476,315439,217.063,100.00,522
477,315900,221.333,100.00,461
478,316330,223.503,100.00,430
479,317021,205.232,100.00,691
480,317402,226.933,100.00,381
481,317791,226.373,100.00,389
482,318197,225.182,100.00,406
483,318675,220.143,100.00,478
484,319047,227.563,100.00,372
485,319434,226.513,100.00,387
486,319861,223.713,100.00,427
487,320464,211.393,100.00,603
488,320859,225.953,100.00,395
489,321280,224.133,100.00,421
490,321631,229.033,100.00,351
491,321957,230.783,100.00,326
492,322320,228.193,100.00,363
493,322740,224.203,100.00,420
494,323158,224.343,100.00,418
495,323796,208.943,100.00,638
496,324238,222.663,100.00,442
497,324639,225.533,100.00,401
